Disease,Specialist
Drug Reaction,Toxicologist
Malaria,Infectious Disease Specialist
Allergy,Immunologist
Hypothyroidism,Endocrinologist
Psoriasis,Dermatologist
GERD,Gastroenterologist
Chronic cholestasis,Gastroenterologist
Hepatitis A,Hepatologist
Osteoarthritis,Rheumatologist
Benign paroxysmal positional vertigo,Otolaryngologist
Hypoglycemia,Endocrinologist
Acne,Dermatologist
Diabetes,Endocrinologist
Impetigo,Dermatologist
Hypertension,Cardiologist
Peptic ulcer disease,Gastroenterologist
Dimorphic hemorrhoids,Proctologist
Common Cold,General Practitioner
Chicken pox,Pediatrician
Cervical spondylosis,Orthopedic Specialist
Hyperthyroidism,Endocrinologist
Urinary tract infection,Urologist
Varicose veins,Vascular Surgeon
AIDS,Infectious Disease Specialist
Paralysis (brain hemorrhage),Neurologist
Typhoid,Infectious Disease Specialist
Hepatitis B,Hepatologist
Fungal infection,Dermatologist
Hepatitis C,Hepatologist
Migraine,Neurologist
Bronchial Asthma,Pulmonologist
Alcoholic hepatitis,Hepatologist
Jaundice,Hepatologist
Hepatitis E,Hepatologist
Dengue,Infectious Disease Specialist
Hepatitis D,Hepatologist
Heart attack,Cardiologist
Pneumonia,Pulmonologist
Arthritis,Rheumatologist
Gastroenteritis,Gastroenterologist
Tuberculosis,Infectious Disease Specialist
